mots,1980,2022,augmentation
abandon,18,44,1.368421052631579
abandonné,12,4,-0.6153846153846154
abattage,28,29,0.034482758620689655
abattu,11,9,-0.16666666666666666
abonnement,22,30,0.34782608695652173
about,6,14,1.1428571428571428
abouti,6,14,1.1428571428571428
abri,590,384,-0.34856175972927245
absence,42,235,4.488372093023256
absorbé,11,77,5.5
absorption,1,14,6.5
abstraction,24,22,-0.08
abus,8,18,1.1111111111111112
accéder,0,24,24.0
acceptation,27,54,0.9642857142857143
accepte,22,34,0.5217391304347826
accepté,12,30,1.3846153846153846
acceptée,5,13,1.3333333333333333
accepter,15,21,0.375
accès,13,136,8.785714285714286
accessible,3,27,6.0
accessibles,1,19,9.0
accession,3,47,11.0
accessoire,74,124,0.6666666666666666
accessoires,55,99,0.7857142857142857
accident,44,33,-0.24444444444444444
accidentel,12,8,-0.3076923076923077
accidents,23,10,-0.5416666666666666
accise,0,171,171.0
accompagnant,6,11,0.7142857142857143
accompagne,21,105,3.8181818181818183
accompagné,87,201,1.2954545454545454
accompagnée,43,134,2.0681818181818183
accompagnées,12,15,0.23076923076923078
accompagnement,2,82,26.666666666666668
accompagnés,13,21,0.5714285714285714
accompli,54,111,1.0363636363636364
accomplie,8,15,0.7777777777777778
accomplir,8,28,2.2222222222222223
accomplis,35,63,0.7777777777777778
accomplissement,32,59,0.8181818181818182
accord,277,783,1.8201438848920863
accorde,27,62,1.25
accordé,157,342,1.1708860759493671
accordée,76,173,1.2597402597402598
accordées,25,51,1.0
accorder,15,23,0.5
accordés,29,31,0.06666666666666667
accords,21,62,1.8636363636363635
accroissement,8,14,0.6666666666666666
accueil,1,61,30.0
accueilli,1,18,8.5
accueillir,0,15,15.0
accus,13,31,1.2857142857142858
accusé,9,23,1.4
achat,205,493,1.3980582524271845
achats,59,85,0.43333333333333335
achète,9,15,0.6
acheté,25,79,2.076923076923077
achetée,8,47,4.333333333333333
achètent,7,12,0.625
achetés,16,30,0.8235294117647058
acheteur,30,40,0.3225806451612903
acheteurs,11,14,0.25
achève,66,289,3.328358208955224
achevé,68,116,0.6956521739130435
achevée,17,37,1.1111111111111112
achevées,7,25,2.25
achèvement,64,285,3.4
achever,1,19,9.0
achevés,39,51,0.3
acier,21,7,-0.6363636363636364
acompte,100,296,1.9405940594059405
acquéreur,50,176,2.4705882352941178
acquérir,11,36,2.0833333333333335
acquiert,1,38,18.5
acquis,354,1748,3.926760563380282
acquise,41,167,3.0
acquises,28,110,2.8275862068965516
acquisition,205,1165,4.660194174757281
acquisitions,42,192,3.488372093023256
acquit,329,524,0.5909090909090909
acquitter,63,98,0.546875
acte,663,1030,0.552710843373494
actes,393,404,0.027918781725888325
acteur,20,43,1.0952380952380953
acteurs,15,24,0.5625
actif,149,849,4.666666666666667
actifs,11,292,23.416666666666668
action,957,2504,1.61482254697286
actionnaire,53,97,0.8148148148148148
actionnaires,45,69,0.5217391304347826
actions,425,1158,1.7206572769953052
active,5,18,2.1666666666666665
activité,319,1610,4.034375
activités,70,395,4.577464788732394
actualisation,9,45,3.6
actuel,12,34,1.6923076923076923
actuelle,9,28,1.9
acul,61,98,0.5967741935483871
adaptation,26,38,0.4444444444444444
adaptations,8,10,0.2222222222222222
adapté,6,26,2.857142857142857
adaptés,0,12,12.0
addition,64,137,1.123076923076923
adéquat,0,10,10.0
adhérent,68,228,2.318840579710145
adhérente,4,13,1.8
adhérents,57,156,1.706896551724138
adhésion,18,42,1.263157894736842
adjoint,14,40,1.7333333333333334
adjoints,7,17,1.25
administrateur,18,91,3.8421052631578947
administrateurs,11,30,1.5833333333333333
administratif,76,135,0.7662337662337663
administratifs,29,37,0.26666666666666666
administration,815,2271,1.7843137254901962
administrations,45,101,1.2173913043478262
administrative,71,303,3.2222222222222223
administratives,27,44,0.6071428571428571
admis,201,315,0.5643564356435643
admise,92,142,0.5376344086021505
adopté,18,31,0.6842105263157895
adoptée,4,13,1.8
adoptées,2,10,2.6666666666666665
adoption,4,22,3.6
adresse,169,759,3.4705882352941178
adressé,91,232,1.5326086956521738
adressée,67,172,1.5441176470588236
adressées,18,32,0.7368421052631579
adresser,29,39,0.3333333333333333
adressés,12,24,0.9230769230769231
adulte,0,11,11.0
adultes,0,11,11.0
aérien,14,49,2.3333333333333335
aérienne,9,28,1.9
aérodrome,2,79,25.666666666666668
aéroport,5,30,4.166666666666667
affectation,48,118,1.4285714285714286
affecte,17,65,2.6666666666666665
affecté,205,558,1.7135922330097086
affectée,51,126,1.4423076923076923
affectées,32,83,1.5454545454545454
affecter,6,26,2.857142857142857
affectés,108,304,1.798165137614679
affichage,19,14,-0.25
affiche,28,15,-0.4482758620689655
affiches,20,9,-0.5238095238095238
affirmation,7,12,0.625
afin,12,110,7.538461538461538
âge,27,33,0.21428571428571427
âgé,35,78,1.1944444444444444
âgée,5,31,4.333333333333333
âgées,3,27,6.0
Agen,517,848,0.638996138996139
agence,68,124,0.8115942028985508
agencement,11,17,0.5
agences,31,26,-0.15625
agent,447,723,0.6160714285714286
agents,368,568,0.5420054200542005
âgés,16,29,0.7647058823529411
agglomérat,18,16,-0.10526315789473684
agglomération,18,16,-0.10526315789473684
agi,205,473,1.3009708737864079
agir,5,17,2.0
agissant,15,172,9.8125
agissement,2,15,4.333333333333333
agissements,2,14,4.0
agissent,3,12,2.25
agit,142,173,0.21678321678321677
agrandi,6,20,2.0
agrandissement,6,18,1.7142857142857142
agrément,189,574,2.026315789473684
agricole,426,655,0.5362997658079626
agricoles,223,306,0.3705357142857143
agriculteur,26,41,0.5555555555555556
